State,2015,Rank
,rate,
North Dakota,2.8,1
Nebraska,3,2
South Dakota,3.1,3
New Hampshire,3.4,4
Hawaii,3.6,5
Utah,3.6,5
Vermont,3.6,5
Minnesota,3.7,8
Iowa,3.8,9
Colorado,3.9,10
Idaho,4.2,11
Kansas,4.2,11
Montana,4.2,11
Wyoming,4.3,14
Maine,4.4,15
Oklahoma,4.4,15
Texas,4.4,15
Virginia,4.5,18
Wisconsin,4.6,19
Indiana,4.8,20
Massachusetts,4.8,20
Delaware,4.9,22
Ohio,4.9,22
Arkansas,5,24
Missouri,5,24
Maryland,5.1,26
Kentucky,5.3,27
New York,5.3,27
Pennsylvania,5.3,27
Michigan,5.4,30
Florida,5.5,31
Oregon,5.6,32
Tennessee,5.6,32
Washington,5.6,32
Connecticut,5.7,35
North Carolina,5.7,35
New Jersey,5.8,37
Georgia,6,38
Illinois,6,38
Rhode Island,6,38
South Carolina,6,38
Alabama,6.1,42
Arizona,6.1,42
California,6.2,44
Louisiana,6.3,45
Mississippi,6.4,46
Alaska,6.5,47
New Mexico,6.5,47
West Virginia,6.7,49
Nevada,6.8,50
District of Columbia,6.9,51
